0,1,2,3
Valor,Cierre,Volumen,Fecha
ACCIONA,"90,1500",119.658,03/04/2020
ACERINOX,"6,1600",737.208,03/04/2020
ACS,"16,9000",1.388.617,03/04/2020
AENA,"102,5000",230.118,03/04/2020
AMADEUS,"42,0000",3.446.261,03/04/2020
ARCELORMIT.,"7,8380",632.597,03/04/2020
B.SANTANDER,"2,0970",71.741.342,03/04/2020
BA.SABADELL,"0,4260",36.617.228,03/04/2020
BANKIA,"0,9558",5.613.723,03/04/2020
BANKINTER,"3,0850",3.592.810,03/04/2020
BBVA,"2,7480",38.610.042,03/04/2020
CAIXABANK,"1,6195",47.797.559,03/04/2020
CELLNEX,"44,6500",1.260.636,03/04/2020
CIE AUTOMOT.,"13,0100",280.331,03/04/2020
ENAGAS,"18,4600",1.235.022,03/04/2020
ENCE,"2,7420",1.560.327,03/04/2020
ENDESA,"18,4450",1.281.016,03/04/2020
FERROVIAL,"20,3600",1.717.096,03/04/2020
GRIFOLS CL.A,"30,1800",1.207.248,03/04/2020
IAG,"2,2500",5.892.887,03/04/2020
IBERDROLA,"9,0500",39.878.172,03/04/2020
INDITEX,"21,9800",3.438.391,03/04/2020
INDRA A,"6,8600",753.202,03/04/2020
INM.COLONIAL,"8,0150",621.682,03/04/2020
MAPFRE,"1,5420",4.773.359,03/04/2020
MASMOVIL,"14,5100",582.693,03/04/2020
MEDIASET,"3,0700",578.051,03/04/2020
MELIA HOTELS,"3,7100",398.701,03/04/2020
MERLIN,"7,1000",2.238.753,03/04/2020
NATURGY,"15,7300",1.701.269,03/04/2020
R.E.C.,"15,6700",1.385.540,03/04/2020
REPSOL,"8,2520",13.324.374,03/04/2020
SIEMENS GAME,"13,5000",1.161.934,03/04/2020
TELEFONICA,"4,0450",21.188.893,03/04/2020
VISCOFAN,"49,5000",93.027,03/04/2020
0,1,2,3
Valor,Cierre,Volumen,Fecha
ACCIONA,"90,1500",119.658,03/04/2020
ACERINOX,"6,1600",737.208,03/04/2020
ACS,"16,9000",1.388.617,03/04/2020
AENA,"102,5000",230.118,03/04/2020
AMADEUS,"42,0000",3.446.261,03/04/2020
ARCELORMIT.,"7,8380",632.597,03/04/2020
B.SANTANDER,"2,0970",71.741.342,03/04/2020
BA.SABADELL,"0,4260",36.617.228,03/04/2020
BANKIA,"0,9558",5.613.723,03/04/2020
BANKINTER,"3,0850",3.592.810,03/04/2020
BBVA,"2,7480",38.610.042,03/04/2020
CAIXABANK,"1,6195",47.797.559,03/04/2020
CELLNEX,"44,6500",1.260.636,03/04/2020
CIE AUTOMOT.,"13,0100",280.331,03/04/2020
ENAGAS,"18,4600",1.235.022,03/04/2020
ENCE,"2,7420",1.560.327,03/04/2020
ENDESA,"18,4450",1.281.016,03/04/2020
FERROVIAL,"20,3600",1.717.096,03/04/2020
GRIFOLS CL.A,"30,1800",1.207.248,03/04/2020
IAG,"2,2500",5.892.887,03/04/2020
IBERDROLA,"9,0500",39.878.172,03/04/2020
INDITEX,"21,9800",3.438.391,03/04/2020
INDRA A,"6,8600",753.202,03/04/2020
INM.COLONIAL,"8,0150",621.682,03/04/2020
MAPFRE,"1,5420",4.773.359,03/04/2020
